BestSquatKg,BestBenchKg
182.5,135.0
154.22,83.91
140.0,97.5
185.0,122.5
124.74,68.04
160.0,95.0
110.0,97.5
180.0,115.0
179.17,97.52
85.0,47.5
117.5,70.0
83.91,54.43
,180.0
,
231.33,113.4
250.0,182.5
140.0,160.0
125.0,72.5
,
,175.0
150.0,112.5
122.5,77.5
130.0,70.0
97.5,50.0
105.0,65.0
195.0,155.0
100.0,57.5
212.5,130.0
217.72,122.47
174.63,120.2
242.5,152.5
422.5,330.0
,167.5
212.5,155.0
102.06,52.16
192.5,137.5
130.0,80.0
,210.0
60.0,137.5
140.61,95.25
102.5,52.5
,167.5
100.0,72.5
,120.0
240.0,175.0
217.72,122.47
182.5,102.5
87.5,37.5
195.0,
155.0,115.0
232.5,147.5
102.5,45.0
,60.0
,
190.51,102.06
,
125.0,77.5
155.0,110.0
197.5,137.5
157.5,87.5
230.0,150.0
197.5,140.0
97.5,
226.8,138.35
,175.0
125.0,120.0
200.0,135.0
127.01,70.31
344.73,
80.0,35.0
200.0,142.5
215.46,142.88
210.0,152.5
192.5,115.0
131.54,79.38
240.0,160.0
210.92,106.59
285.76,213.19
156.49,104.33
,190.0
187.5,140.0
,110.0
,140.0
162.5,127.5
124.74,74.84
182.5,137.5
280.0,155.0
80.0,47.5
,
136.08,81.65
,120.0
115.0,55.0
182.5,137.5
155.0,107.5
145.0,75.0
112.5,67.5
172.5,100.0
117.5,87.5
200.0,102.5
135.0,102.5
161.03,90.72
200.0,115.0
252.5,145.0
310.71,192.78
282.5,192.5
300.01,204.98
95.0,50.0
132.5,77.5
87.5,72.5
207.52,199.99
,95.0
142.88,115.67
215.0,140.0
200.0,95.0
,95.0
175.0,120.0
136.08,61.23
205.0,127.5
,95.0
120.2,54.43
182.5,140.0
113.4,61.23
226.8,136.08
,149.69
77.5,50.0
175.0,
,197.31
213.19,138.35
97.5,57.5
81.65,58.97
142.88,65.77
124.74,79.38
250.0,190.0
292.5,180.0
235.0,120.0
82.5,47.5
165.0,110.0
,147.5
107.5,55.0
183.7,90.72
,149.69
,70.0
167.5,140.0
187.5,115.0
188.24,90.72
82.5,45.0
227.5,222.5
,
102.06,61.23
201.0,135.0
167.5,137.5
165.56,86.18
226.8,120.2
222.5,162.5
,
106.6,49.9
157.5,135.0
180.0,155.0
210.0,145.0
97.5,
110.0,55.0
,
125.0,62.5
140.61,81.65
230.0,117.5
,115.0
206.38,136.08
277.5,182.5
92.99,52.16
,160.0
47.5,30.0
115.0,50.0
175.0,127.5
,
,82.5
134.94,157.4
124.74,74.84
25.0,25.0
,
145.0,100.0
290.3,147.42
52.5,27.5
281.23,154.22
120.0,67.5
130.0,70.0
100.0,60.0
140.0,115.0
202.5,147.5
254.01,165.56
170.0,90.0
242.5,170.0
147.5,97.5
110.0,70.0
105.0,45.0
154.22,86.18
175.0,115.0
227.5,140.0
185.0,105.0
,160.0
80.0,57.5
,150.0
200.0,120.0
,158.76
,127.5
226.8,140.61
127.01,70.31
192.78,
212.5,132.5
,215.0
181.44,97.52
,147.5
170.0,132.5
70.0,35.0
245.0,162.5
102.06,38.56
112.5,70.0
122.5,57.5
,62.5
190.0,120.0
192.5,125.0
160.0,162.5
145.0,112.5
124.74,68.04
192.5,125.0
160.0,140.0
157.5,107.5
87.5,57.5
,90.72
,227.5
,190.0
97.5,67.5
112.5,95.0
305.0,215.0
127.01,70.31
281.23,192.78
201.85,129.27
227.5,152.5
163.29,92.99
157.5,125.0
212.5,160.0
,87.5
,197.5
222.5,175.0
181.44,120.2
182.5,122.5
204.12,131.54
220.0,142.5
374.21,226.8
190.51,115.67
226.8,129.27
,
202.5,127.5
192.5,120.0
170.0,55.0
249.48,145.15
92.5,45.0
180.0,102.5
190.0,135.0
135.0,70.0
215.0,167.5
215.46,
149.7,90.7
197.5,127.5
140.0,105.0
226.8,122.47
138.35,99.79
107.5,82.5
,140.0
,62.5
90.0,55.0
