BestSquatKg,BestBenchKg
136.08,58.97
136.08,120.2
200.0,140.0
161.03,83.91
122.47,114.99
127.5,65.0
172.37,77.11
95.25,58.97
235.0,157.5
213.19,127.01
182.5,125.0
197.5,137.5
230.0,160.0
247.5,150.0
210.92,149.69
233.6,124.74
130.0,80.0
136.08,49.9
190.0,140.0
162.5,95.0
175.0,130.0
127.5,77.5
225.0,130.0
200.0,120.0
142.5,85.0
172.37,106.59
225.0,107.5
127.5,85.0
152.5,122.5
190.0,107.5
292.5,175.0
180.0,130.0
112.5,70.0
56.7,34.02
130.0,105.0
204.12,145.15
151.95,102.06
152.5,92.5
117.5,45.0
88.45,49.9
267.5,185.0
210.92,127.01
160.0,75.0
170.0,140.0
120.0,60.0
295.0,170.0
110.0,75.0
70.31,31.75
142.5,72.5
192.5,125.0
220.0,115.0
242.67,127.01
205.0,125.0
142.88,88.45
247.5,147.5
125.0,65.0
260.82,136.08
192.5,135.0
270.0,170.0
170.0,160.0
150.0,95.0
272.16,136.08
75.0,50.0
147.42,79.38
165.56,142.88
170.0,115.0
97.52,56.7
192.5,75.0
162.5,90.0
122.5,77.5
130.0,72.5
197.5,135.0
294.84,167.83
192.5,140.0
295.0,150.0
242.67,150.0
177.5,142.5
112.5,60.0
200.0,130.0
235.87,149.69
183.7,97.52
102.5,52.5
240.4,120.2
165.0,90.0
275.0,190.0
120.0,100.0
174.63,127.01
142.5,80.0
124.74,74.84
182.5,110.0
136.08,79.38
129.27,90.72
102.5,62.5
174.63,124.74
201.85,129.27
185.97,120.2
190.51,117.93
192.5,120.0
147.5,117.5
130.0,70.0
132.5,80.0
155.0,100.0
142.5,125.0
80.0,52.5
157.5,97.5
149.69,90.72
130.0,60.0
157.5,115.0
212.5,172.5
150.0,125.0
300.0,205.0
147.42,106.59
155.0,82.5
145.15,79.38
205.0,142.5
65.0,32.5
112.5,67.5
149.69,83.91
190.0,117.5
155.0,100.0
200.0,110.0
183.7,120.2
200.0,142.5
265.0,180.0
170.0,122.5
165.56,115.67
245.0,140.0
205.0,115.0
320.0,172.5
305.0,230.0
215.0,102.5
125.0,97.5
77.5,32.5
188.24,129.27
158.76,129.27
149.69,88.45
97.5,55.0
187.5,132.5
150.0,92.5
111.13,74.84
165.56,90.72
100.0,267.5
188.24,97.52
188.24,122.47
250.0,145.0
135.0,95.0
260.0,182.5
120.2,61.23
162.5,92.5
183.7,122.47
352.5,190.0
260.0,170.0
195.0,115.0
117.93,54.43
180.0,115.0
81.65,70.31
222.5,130.0
102.06,47.63
272.5,190.0
192.5,138.0
80.0,35.0
175.0,95.0
190.0,160.0
312.5,250.0
155.0,105.0
210.0,135.0
238.14,174.63
197.5,125.0
185.0,162.5
92.5,80.0
258.55,158.76
135.0,65.0
200.0,127.5
120.2,77.11
170.0,110.0
107.5,67.5
260.0,165.0
150.0,105.0
85.0,47.5
130.0,120.0
106.59,79.38
135.0,115.0
365.0,247.5
287.5,192.5
197.31,167.83
160.0,67.5
85.0,52.5
100.0,47.5
160.0,90.0
85.0,40.0
220.0,180.0
127.5,102.5
162.5,107.5
277.5,220.0
165.0,120.0
172.5,137.5
137.5,60.0
161.03,83.91
111.13,58.97
155.0,80.0
262.5,137.5
200.0,147.5
185.0,120.0
142.5,77.5
105.0,55.0
255.0,167.5
182.5,122.5
142.88,90.72
165.0,95.0
240.0,187.5
187.5,135.0
205.0,142.5
82.5,37.5
206.38,129.27
155.0,90.0
265.0,162.5
202.5,140.0
87.5,55.0
235.0,145.0
225.0,137.5
125.0,57.5
215.0,160.0
185.97,151.95
202.5,135.0
192.78,102.06
175.0,90.0
90.0,75.0
207.5,125.0
145.0,67.5
107.5,65.0
280.0,152.5
120.0,97.5
342.5,220.0
197.5,135.0
230.0,135.0
192.5,115.0
110.0,72.5
175.0,110.0
205.0,127.5
135.0,102.5
195.0,156.5
151.95,92.99
252.5,175.0
215.0,160.0
175.0,90.0
255.0,137.5
222.26,113.4
245.0,150.0
254.01,158.76
50.0,55.0
310.0,197.5
260.0,182.5
190.51,106.59
124.74,65.77
122.5,107.5
195.0,120.0
142.9,63.5
170.1,106.59
155.0,65.0
219.99,111.13
190.0,115.0
325.0,245.0
142.88,68.04
342.5,230.0
122.5,57.5
208.65,111.13
147.42,79.38
227.5,147.5
260.82,154.22
110.0,77.5
112.5,92.5
161.03,90.72
142.88,102.06
145.0,102.5
195.0,135.0
130.0,62.5
182.5,110.0
158.76,83.91
160.0,107.5
188.24,106.59
254.01,140.61
115.0,67.5
302.5,200.0
110.0,62.5
195.0,140.0
177.5,125.0
294.84,215.0
185.0,90.0
260.0,170.01
230.0,150.0
185.0,115.0
92.5,80.0
250.0,167.5
108.86,68.04
115.67,61.23
165.5,107.5
190.0,132.5
215.46,113.4
140.0,100.0
195.0,155.0
107.5,65.0
174.63,111.13
106.59,52.16
137.5,70.0
165.0,107.5
177.5,92.5
275.0,187.5
205.0,140.0
200.0,155.0
132.5,95.0
117.48,74.96
219.99,127.01
182.5,135.0
275.0,192.5
147.42,88.45
180.0,105.0
157.5,92.5
80.0,57.5
133.81,70.31
72.5,32.5
142.5,97.5
213.0,140.0
249.48,136.08
182.5,155.0
217.72,124.74
360.0,240.5
270.0,187.5
175.0,125.0
122.5,85.0
192.5,95.0
90.0,45.0
250.0,145.0
80.0,50.0
247.5,137.5
170.0,157.5
200.0,122.5
215.0,155.0
185.97,117.93
267.5,137.5
150.0,85.0
205.0,140.0
282.5,205.0
205.0,162.5
215.0,145.0
97.5,55.0
102.5,62.5
208.65,145.15
163.29,124.74
82.5,90.0
117.9,38.6
127.5,55.0
115.67,81.65
328.85,192.78
117.5,70.0
125.0,80.0
227.5,155.0
82.5,47.5
106.59,63.5
217.5,142.5
237.5,142.5
157.5,67.5
160.0,122.5
187.5,140.0
160.0,130.0
247.5,175.0
215.5,97.5
215.46,117.93
90.0,60.0
100.0,100.0
202.5,160.0
205.0,172.5
220.0,135.0
287.5,150.0
117.93,63.5
110.0,52.5
167.5,100.0
100.0,70.0
182.5,137.5
100.0,47.5
140.61,63.5
237.5,185.0
110.0,57.5
192.78,97.52
115.0,100.0
136.08,83.91
154.22,142.88
190.0,152.5
107.5,62.5
127.01,61.23
185.97,122.47
188.2,104.3
160.0,87.5
156.49,117.93
140.0,125.0
145.0,77.5
107.5,45.0
272.5,227.5
200.0,172.5
421.84,317.51
87.5,60.0
105.0,60.0
183.7,106.59
327.5,197.5
369.68,244.94
135.0,95.0
92.5,62.5
167.5,118.5
195.04,111.13
112.5,52.5
192.5,102.5
162.5,87.5
250.0,210.0
170.1,113.4
145.0,107.5
195.0,138.0
129.27,81.65
204.12,106.59
205.0,142.5
240.0,167.5
233.6,104.33
187.5,102.5
190.0,125.0
175.0,130.0
100.0,60.0
192.5,142.5
122.5,77.5
204.12,136.08
70.0,42.5
230.5,150.0
217.72,113.4
200.0,135.0
106.59,88.45
207.5,137.5
130.0,130.0
200.0,150.0
267.5,187.5
119.98,74.96
